code,name
001040,CJ
011150,CJ씨푸드
012630,HDC
082740,HSD엔진
001390,KG케미칼
010060,OCI
002360,SH에너지화학
001740,SK네트웍스
011810,STX
071970,STX중공업
024070,WISCOM
011420,갤럭시아에스엠
267290,경동도시가스
002240,고려제강
001290,골든브릿지증권
014530,극동유화
214330,금호에이치티
013700,까뮤이앤씨
090350,노루페인트
005250,녹십자홀딩스
004130,대덕GDS
004440,대림씨엔에스
014160,대영포장
003220,대원제약
002880,대유에이텍
001620,동국실업
023450,동남합성
004140,동방
000640,동아쏘시오홀딩스
001520,동양
000400,롯데손해보험
023530,롯데쇼핑
071840,롯데하이마트
204210,모두투어리츠
009200,무림페이퍼
033920,무학
085620,미래에셋생명
006400,삼성SDI
207940,삼성바이오로직스
068290,삼성출판사
029780,삼성카드
000810,삼성화재해상보험
005680,삼영전자공업
003720,삼영화학공업
005500,삼진제약
007610,선도전기
136490,선진
091090,세원셀론텍
067830,세이브존I&C
019170,신풍제약
293940,신한알파리츠
055550,신한지주
020560,아시아나항공
012280,영화금속
105840,우진
103130,웅진에너지
005820,원림
008600,윌비스
033270,유나이티드
047400,유니온머티리얼
088260,이리츠코크렙
023800,인지컨트롤스
249420,일동제약
194370,제이에스코퍼레이션
025620,제이준코스메틱
271980,제일약품
001560,제일연마
002620,제일파마홀딩스
018470,조일알미늄
002600,조흥
088790,진도
029460,케이씨
007810,코리아써키트
192820,코스맥스
138490,코오롱플라스틱
021240,코웨이
020120,키다리스튜디오
003240,태광산업
004100,태양금속공업
005490,포스코
039130,하나투어
036460,한국가스공사
000970,한국주철관공업
104700,한국철강
168490,한국패러랠
128940,한미약품
105630,한세실업
004710,한솔테크닉스
300720,한일시멘트
002220,한일철강
002320,한진
009460,한창제지
027390,한화갤러리아타임월드
267270,현대건설기계
004560,현대비앤지스틸
057050,현대홈쇼핑
111110,호전실업
008770,호텔신라
027410,BGF
138930,BNK금융지주
000590,CS홀딩스
114090,GKL
006360,GS건설
001250,GS글로벌
001060,JW중외제약
105560,KB금융
000040,KR모터스
034220,LG디스플레이
064960,S&T모티브
101060,SBS미디어홀딩스
001380,SG충방
034730,SK
011790,SKC
012320,경동인베스트
214390,경보제약
192530,광주은행
014280,금강공업
004540,깨끗한나라
004270,남성
251270,넷마블
006370,대구백화점
000210,대림산업
006570,대림통상
009190,대양금속
047040,대우건설
000300,대유플러스
001070,대한방직
001440,대한전선
084010,대한제강
016090,대현
007590,동방아그로
083370,동북아12호선박투자
102260,동성코퍼레이션
082640,동양생명
018500,동원금속
042670,두산인프라코어
016740,두올
024090,디씨엠
011170,롯데케미칼
268280,미원에스씨
107590,미원홀딩스
035150,백산
002410,범양건영
002760,보락
003850,보령제약
000890,보해양조
005180,빙그레
003960,사조대림
008040,사조동아원
014710,사조씨푸드
145990,삼양사
003230,삼양식품
023000,삼원강재
001880,삼호
011230,삼화전자공업
021050,서원
005980,성지건설
004490,세방전지
004430,송원산업
005800,신영와코루
004770,써니전자
002790,아모레퍼시픽그룹
122900,아이마켓코리아
003560,아이에이치큐
078520,에이블씨엔씨
036570,엔씨소프트
085310,엔케이
014440,영보화학
111770,영원무역
003520,영진약품
000670,영풍
016880,웅진
002920,유성기업
